Occupational Interest,Job Zone,Code,Occupation
11,5,25-1042.00,"Biological Science Teachers, Postsecondary"
11,1-2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
11,3,27-1012.00,Craft Artists
11,4,29-1141.03,Critical Care Nurses
11,1-2,45-3031.00,Fishing and Hunting Workers
11,1-2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
11,1-2,51-9022.00,"Grinding and Polishing Workers, Hand"
11,4,13-1081.02,Logistics Analysts
11,5,29-1299.02,Orthoptists
11,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
11,4,13-1041.07,Regulatory Affairs Specialists
11,4,11-3071.04,Supply Chain Managers
10,1-2,45-2011.00,Agricultural Inspectors
10,5,29-1211.00,Anesthesiologists
10,5,19-1011.00,Animal Scientists
10,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
10,1-2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
10,5,29-1216.00,General Internal Medicine Physicians
10,1-2,51-9198.00,Helpers--Production Workers
10,1-2,53-7063.00,Machine Feeders and Offbearers
10,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
10,1-2,47-2141.00,"Painters, Construction and Maintenance"
10,1-2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
10,3,51-9195.05,"Potters, Manufacturing"
10,4,11-9199.01,Regulatory Affairs Managers
10,1-2,47-5051.00,"Rock Splitters, Quarry"
10,5,29-1229.06,Sports Medicine Physicians
9,5,29-1071.01,Anesthesiologist Assistants
9,5,11-1011.00,Chief Executives
9,4,13-1051.00,Cost Estimators
9,5,29-1213.00,Dermatologists
9,1-2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
9,5,25-1064.00,"Geography Teachers, Postsecondary"
9,1-2,53-7051.00,Industrial Truck and Tractor Operators
9,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
9,1-2,43-5041.00,"Meter Readers, Utilities"
9,5,29-1229.05,Preventive Medicine Physicians
9,1-2,43-5031.00,Public Safety Telecommunicators
9,4,11-3013.01,Security Managers
9,3,29-2056.00,Veterinary Technologists and Technicians
8,5,19-3091.00,Anthropologists and Archeologists
8,3,33-3021.00,Detectives and Criminal Investigators
8,1-2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
8,3,39-4011.00,Embalmers
8,3,27-1022.00,Fashion Designers
8,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
8,4,33-3031.00,Fish and Game Wardens
8,1-2,43-5011.01,Freight Forwarders
8,3,13-1041.04,Government Property Inspectors and Investigators
8,3,29-9021.00,Health Information Technologists and Medical Registrars
8,1-2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
8,1-2,47-3016.00,Helpers--Roofers
8,3,13-1032.00,"Insurance Appraisers, Auto Damage"
8,5,29-1217.00,Neurologists
8,1-2,43-9071.00,"Office Machine Operators, Except Computer"
8,1-2,47-2142.00,Paperhangers
8,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
8,1-2,53-7081.00,Refuse and Recyclable Material Collectors
8,1-2,51-6042.00,Shoe Machine Operators and Tenders
8,3,29-9093.00,Surgical Assistants
8,3,29-2055.00,Surgical Technologists
8,1-2,51-6093.00,Upholsterers
8,5,29-1131.00,Veterinarians
7,1-2,53-3051.00,"Bus Drivers, School"
7,4,13-1199.04,Business Continuity Planners
7,3,13-1041.06,Coroners
7,1-2,51-9031.00,"Cutters and Trimmers, Hand"
7,3,29-2042.00,Emergency Medical Technicians
